,unitid,year,opeid.x,opeid6,fips.x.x,years_since_entering_repay,cohort_year.x,repay_rate,repay_rate_lowincome,repay_rate_midincome,repay_rate_highincome,repay_rate_dependent,repay_rate_independent,repay_rate_pell,repay_rate_nopell,repay_rate_female,repay_rate_male,repay_rate_firstgen,repay_rate_notfirstgen,repay_count,repay_count_lowincome,repay_count_midincome,repay_count_highincome,repay_count_dependent,repay_count_independent,repay_count_pell,repay_count_nopell,repay_count_female,repay_count_male,repay_count_firstgen,repay_count_notfirstgen,fips.y.x,cohort_year.y,race,sex,completion_rate_150pct,fips.x.y,est_fte,fips.y.y,type_of_aid,number_of_students,percent_of_students,average_amount,fips,opeid.y,inst_name_fsa,loan_type,loan_recipients_unitid,num_loans_disbursed_unitid,num_loans_originated_unitid,value_loans_originated_unitid,value_loan_disbursements_unitid,loan_recipients_opeid,num_loans_disbursed_opeid,num_loans_originated_opeid,value_loans_originated_opeid,value_loan_disbursements_opeid,allocation_flag,combined_flag,other_assoc_opeids,hbcu
68,101514,2012,101300,1013,1,5,2007,0.534688,0.442424,0.651057,0.681592,0.602436,0.479821,0.478514,0.654264,0.536865,0.529791,0.527002,0.543432,2018,1155,662,201,903,1115,1373,645,1397,621,1074,944,1,2010,1,99,0.147,1,7911,1,1,1089,0.79,NA,1,101300,CALHOUN COMMUNITY COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
69,101541,2010,102300,1023,1,3,2007,0.571429,0.492537,-3,-3,0.625,0.44186,0.552083,0.607843,-3,-3,0.4375,0.674699,147,67,59,21,104,43,96,51,-3,-3,64,83,1,2005,1,99,0.387,1,309,1,1,93,1,NA,1,102300,JUDSON COLLEGE,1,185,344,206,701465,692540,185,344,206,701465,692540,0,0,,No
71,101541,2012,102300,1023,1,5,2007,0.593103,0.492063,-3,-3,0.619048,0.525,0.577778,0.618182,-3,-3,0.491803,0.666667,145,63,61,21,105,40,90,55,-3,-3,61,84,1,2007,1,99,0.453,1,343,1,1,77,1,NA,1,102300,JUDSON COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
79,101648,2010,102600,1026,1,3,2007,0.518072,-3,0.5,-3,-3,-3,0.408163,0.676471,-3,-3,0.458333,0.542373,83,33,34,16,-3,-3,49,34,15,68,24,59,1,2008,1,99,0.264,1,457,1,1,219,0.95,NA,1,102600,MARION MILITARY INSTITUTE,1,159,285,159,433526,387741,159,285,159,433526,387741,0,0,,No
80,101648,2012,102600,1026,1,5,2007,0.535714,-3,0.486486,-3,-3,-3,0.48,0.617647,-3,-3,0.44,0.576271,84,32,37,15,-3,-3,50,34,15,69,25,59,1,2010,1,99,0.233,1,422,1,1,236,0.97,NA,1,102600,MARION MILITARY INSTITUTE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
81,101675,2010,102800,1028,1,3,2007,0.183494,0.161572,0.22028,0.391304,0.17484,0.209677,0.175455,0.243243,0.21746,0.148867,0.188867,0.179866,1248,916,286,46,938,310,1100,148,630,618,503,745,1,2005,1,99,0,1,1724,1,1,338,0.99,NA,1,102800,MILES COLLEGE,1,1626,3465,1847,6350272,6006698,1626,3465,1847,6350272,6006698,0,0,,Yes
83,101675,2012,102800,1028,1,5,2007,0.214815,0.200599,0.245791,0.313725,0.200197,0.258929,0.206056,0.279503,0.254731,0.173454,0.225865,0.207241,1350,1002,297,51,1014,336,1189,161,687,663,549,801,1,2007,1,99,0.5,1,1681,1,1,436,0.99,NA,1,102800,MILES COLLEGE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,Yes
91,101709,2010,100400,1004,1,3,2007,0.673569,0.571429,0.727869,0.757732,0.685575,0.637255,0.584783,0.786704,0.709324,0.60219,0.692568,0.662857,821,322,305,194,617,204,460,361,547,274,296,525,1,2005,1,99,0.457,1,2415,1,1,345,0.81,NA,1,100400,UNIVERSITY OF MONTEVALLO,1,1230,2554,1387,4849484,4846397,1230,2554,1387,4849484,4846397,0,0,,No
93,101709,2012,100400,1004,1,5,2007,0.70316,0.582609,0.756757,0.817308,0.728889,0.620853,0.617108,0.810127,0.722222,0.664384,0.683386,0.714286,886,345,333,208,675,211,491,395,594,292,319,567,1,2007,1,99,0.458,1,2455,1,1,472,0.88,NA,1,100400,UNIVERSITY OF MONTEVALLO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,No
95,101736,2010,569700,5697,1,3,2007,0.500494,0.412844,0.652318,0.701754,0.584388,0.426716,0.443122,0.669261,0.497093,0.507692,0.480438,0.534759,1013,654,302,57,474,539,756,257,688,325,639,374,1,2008,1,99,0.121,1,3360,1,1,777,0.93,NA,1,569700,NORTHWEST - SHOALS COMMUNITY COLLEGE,1,1210,2389,1316,3341634,3323276,1210,2389,1316,3341634,3323276,0,0,,No
